Date,Day,Temps,Temps,Rain,Evap,Sun,Max wind gust,Max wind gust,Max wind gust,9 am,9 am,9 am,9 am,9 am,9 am,3 pm,3 pm,3 pm,3 pm,3 pm,3 pm
Date,Day,Min,Max,Rain,Evap,Sun,Dir,Spd,Time,Temp,RH,Cld,Dir,Spd,MSLP,Temp,RH,Cld,Dir,Spd,MSLP
Date,Day,°C,°C,mm,mm,hours,km/h,km/h,local,°C,%,8th,km/h,km/h,hPa,°C,%,8th,km/h,km/h,hPa
Mean,Mean,14.9,27.1,,,,,,,19.3,75,7,,11,1013.9,25.4,53,5,,18,1011.4
Mean,Mean,14.2,28.1,,,,,,,18.7,76,6,,8,1017.1,26.4,50,5,,16,1014.3
Mean,Mean,10.7,27.4,,,,,,,16.2,78,6,,6,1021.5,26.0,37,4,,15,1018.5
Mean,Mean,5.8,20.8,,,,,,,12.2,81,5,,9,1022.3,19.6,45,6,,16,1019.4
Mean,Mean,2.6,16.8,,,,,,,8.5,87,6,,6,1028.8,15.8,55,6,,15,1025.9
Mean,Mean,0.1,12.9,,,,,,,5.3,92,6,,8,1020.5,11.9,57,5,,16,1018.3
Mean,Mean,0.4,12.5,,,,,,,5.9,84,6,,13,1023.7,11.1,60,6,,19,1021.5
Mean,Mean,2.5,16.7,,,,,,,8.5,84,5,,11,1023.1,15.3,52,4,,20,1020.0
Mean,Mean,3.6,18.6,,,,,,,11.4,62,5,,18,1021.8,16.9,39,4,,27,1019.1
Mean,Mean,5.9,22.3,,,,,,,13.0,67,5,,10,1019.7,20.7,39,6,,21,1016.5
